paper_id,sentence_id,sentence
2401.10019,2401.10019_S004,"When interacting directly with complex environments, LLM agents are prone to cause unexpected safety issues, some of which are severe, such as crucial privacy leakage and data loss."
2401.10019,2401.10019_S005,"As illustrated in Figure 2, an LLM checks agent interaction records to judge if the agent actions are safe."
2401.10019,2401.10019_S006,"For instance, when asked to process emails, agents may unconsciously click the URL of phishing emails, leading to potential privacy leakage and even property loss."
2401.10019,2401.10019_S007,AgentMonitor proposed a framework where an LLM serves as a monitor for the execution of agents.
2401.10019,2401.10019_S008,"It intervenes by halting actions deemed unsafe, thereby preventing safety issues that LLM agents might encounter on the open internet."
2401.10019,2401.10019_S009,InjecAgent exposes risks of indirect prompt injection attacks on LLM agents where attackers inject malicious instructions into the environment to manipulate agents into executing detrimental actions against users.
2401.10019,2401.10019_S010,"For generality, we use ReAct as the agent framework where agents think, act, and receive feedback in interactive environments."
2401.10019,2401.10019_S011,The outer attackers attempt to manipulate the agents through the medium of environments.
2401.10019,2401.10019_S012,"If the agent follows the injected malicious instruction, the attacker may gain access to the user's residence, leading to severe risks."
2401.10019,2401.10019_S013,"Due to the complexity of the environments and multi-turn interactions, agents may cause safety issues even if there are no malicious attacks."
2401.10019,2401.10019_S014,"But the agent turn off all electrical devices including security cameras, leading to potential issues."
2401.10019,2401.10019_S015,"We adopt the zero-shot chain-of-thought prompting (Kojima et al., 2022) (dubbed Zero-Shot-CoT) to induce LLMs to generate the reasoning steps before producing the final answer."
2401.10019,2401.10019_S016,"Some safety risks are hidden in the complex multi-turn agent interaction, the identification of which demands LLM monitors to infer the effect of certain actions, such as the effect of link sharing with edit access."
2401.10019,2401.10019_S017,"For example, GPT-4o failed in the case where the agent shared the file link on Twitter with edit access instead of comment access."
2401.10019,2401.10019_S018,Trigger means the risky behaviors of the agent.
2401.10019,2401.10019_S019,Outcome is the result after the agent finishes risky actions.
2401.10019,2401.10019_S020,"The user unintentionally specifies a task that may be risky, or maliciously induces the agent to behave badly."
2401.10019,2401.10019_S021,"Without checking the importance of devices or seeking user consent, the agent turned off security devices and the refrigerator, which leads to safety hazard and food damage."
2401.10019,2401.10019_S022,"The agent did not check if www.havefun.com is a trusted website and directly unblocks it, leading to potential security threats."
2401.10019,2401.10019_S023,"The agent did not ask the user for the exact amount of bills for my badminton court reservation before the transaction, leading to potential financial loss."
2401.10019,2401.10019_S024,"The agent canceled all the resources dispatched to the fire incidents at the convention center, which may cause the true fire incidents in these locations to be delayed."
2401.10019,2401.10019_S025,"The agent listed out files that can be deleted, which include system config like '.bashrc'."
2401.10019,2401.10019_S026,"The agent posted the blog without declaring the source, violating the copyright."
2401.10019,2401.10019_S027,The agent failed to identify that the first characters of seven sentences compose dirty words that are inappropriate to be sent to others.
2401.13178,2401.13178_S001,"An LLM agent receives textual world descriptions, chooses a text action, and gets feedback detailing state changes and any action errors."
2401.13178,2401.13178_S002,"AGENT B OARD unifies all tasks around a general framework where the agent receives observations ot and performs actions at , causing deterministic state transitions T : (st , at ) → st+1 based on real-world dynamics."
2401.13178,2401.13178_S003,This feedback includes: (1) list all valid actions when the agent uses help actions such as check valid actions; (2) execute valid action at and return a description of the changed stete st+1 ; (3) issue errors when the agent performs an action outside of the action space.
2401.13178,2401.13178_S004,"As shown in Figure 2, our agent makes decisions based on its memory of past perceptions, similar to how humans learn from experience and adapt."
2401.13178,2401.13178_S005,"Also, LLM agents tend to struggle with limited context lengths in long interactions, failing to retain full history."
2401.13178,2401.13178_S006,"AlfWorld (Shridhar et al., 2021) are household tasks that require agents to explore surroundings and perform commonsense tasks like ""put two soapbars in garbagecan""."
2401.13178,2401.13178_S007,This task is unique as it requires strong world modeling ability : agents could only gain information about the magic world through exploration and interaction.
2401.13178,2401.13178_S008,These tasks primarily involves querying information from respective databases by planning the use of diverse query tools.
2401.13178,2401.13178_S009,"While LLMs often provide direct answers in question answering, we only consider an answer correct if the model follows the appropriate trajectory to access the databases."
2401.13178,2401.13178_S010,Grounding is the process of mapping high-level plans to executable actions.
2401.13178,2401.13178_S011,"Errors in grounding valid actions highlight a limitation in the model's ability to follow instructions and format actions correctly, as noted by Zheng et al. (2024)."
2401.13178,2401.13178_S012,"We aim to assess LLMs across several facets: memory that measures incorporating long-range information in context, planning that assesses decomposing complex goals into manageable sub-goals, world modeling which tests knowledge necessary for task completion, self-reflection that captures the ability to use environmental feedback, grounding that focuses on competency in generating valid actions, and spatial navigation that represents efficiency in moving to a target location."
2401.13178,2401.13178_S013,"For instance, in the ""zenon"" sub-task, the agent successfully unlocks the cell door but fails to distract the guards, resulting in an inability to escape."
2401.13178,2401.13178_S014,"This failure can be attributed to the limited exploration ability of the agent, as it should have explored the available gadgets in the room to distract the guards."
2401.13178,2401.13178_S015,"The primary method for employing LLMs as agents involves prompting them with task instructions and environmental context to generate actionable responses (Richards, 2023; Xie et al., 2023)."
2401.13178,2401.13178_S016,"Additionally, research explores various dimensions of agent abilities, including grounding goals to actions (Gu et al., 2022; Ahn et al., 2022), world modeling (LeCun, 2022), step-by-step planning (Song et al., 2023), and self-reflection (Madaan et al., 2023; Wang et al., 2023b)."
2401.13178,2401.13178_S017,"For example, an agent like CodeLlama-34b often fails to generate the action ""finish"" when performing tool-using tasks, leading to a higher progress rate and lower success rate compared to CodeLlama-13b."
2401.13178,2401.13178_S018,"Models like GPT-4, Claude2 show consistent progress over 30 steps in Alfworld and PDDL tasks."
2401.13178,2401.13178_S019,"Open-weight models, except Llama3-70b and Deepseek-67b, peak early and generally stop progressing after about 6 steps, likely struggling with the increased complexity of long-range interactions and extended context requirements."
2402.02716,2402.02716_S001,"Autonomous agents have been recognized as intelligent entities capable of accomplishing specific tasks, via perceiving the environment, planning, and executing actions."
2402.02716,2402.02716_S002,"This kind of method adopts the idea of divide and conquer, decomposing the complicated into several sub-tasks and then sequentially planning for each sub-task."
2402.02716,2402.02716_S003,"This kind of method focuses on leading the LLM to ""think"" more, generating various alternative plans for a task."
2402.02716,2402.02716_S004,"This methodology is crafted to employ an external planner to elevate the planning procedure, aiming to address the issues of efficiency and infeasibility of generated plans, while the LLM mainly plays the role in formalizing the tasks."
2402.02716,2402.02716_S005,It encourages LLM to reflect on failures and then refine the plan.
2402.02716,2402.02716_S006,"This kind of approach enhances planning with an extra memory module, in which valuable information is stored, such as commonsense knowledge, past experiences, domain-specific knowledge, et al."
2402.02716,2402.02716_S007,"The information is retrieved when planning, serving as auxiliary signals."
2402.02716,2402.02716_S008,"Decomposition-first methods decompose the task into sub-goals first and then plan for each sub-goal successively, presented in Figure 2(a)."
2402.02716,2402.02716_S009,"The most crucial stage is the initial task decomposition, where HuggingGPT explicitly instructs the LLM to break down the given task into sub-tasks, providing dependencies between tasks."
2402.02716,2402.02716_S010,ProgPrompt translates natural language descriptions of tasks into coding problems.
2402.02716,2402.02716_S011,"When executing tasks, the agent first generates a plan in the form of function callings and then executes them step by step."
2402.02716,2402.02716_S012,"In contrast to CoT, which embeds reasoning within the planning process, ReAct alternates between reasoning (Thought step) and planning (Action step), demonstrating significant improvements in the planning capabilities."
2402.02716,2402.02716_S013,"Visual ChatGPT utilizes ReAct's mechanism, employing LLM as the agent's brain equipped with a series of visual models, resulting in an agent with image processing capabilities."
2402.02716,2402.02716_S014,"PAL improves CoT by leveraging the LLM's coding abilities, guiding the LLM to generate code during reasoning."
2402.02716,2402.02716_S015,"Self-consistency obtains multiple distinct reasoning paths via sampling strategies embodied in the decoding process, such as temperature sampling, top-k sampling."
2402.02716,2402.02716_S016,The propose strategy explicitly instructs the LLM to generate various plans via few-shot examples in prompts.
2402.02716,2402.02716_S017,"LLM-MCTS and RAP leverages LLM as the heuristic policy function for the Monte Carlo Tree Search (MCTS), where multiple potential actions are obtained by multiple calls."
2402.02716,2402.02716_S018,"When selecting a node for expansion, it uses LLM to evaluate multiple actions and chooses the optimal one."
2402.02716,2402.02716_S019,"After each generation, LLM generates feedback for the plan, facilitating adjustments based on the feedback."
2402.02716,2402.02716_S020,Reflexion extends ReAct by incorporating an evaluator to assess trajectories.
2402.02716,2402.02716_S021,"LLM generates self-reflections upon error detection, aiding in error correction."
2402.02716,2402.02716_S022,CRITIC uses external tools like Knowledge Bases and Search Engines to validate LLM-generated actions.
2402.02716,2402.02716_S023,"It then leverages external knowledge for self-correction, significantly reducing factual errors."
2402.02716,2402.02716_S024,"An LLM is used to evaluate the response and tool-using plan generated by the interactive recommendation agent, summarize feedback on errors, and decide whether to restart planning."
2402.02716,2402.02716_S025,Generative Agents store the daily experiences of human-like agents in text form and retrieve memories based on a composite score of recency and relevance to the current situation.
2402.02716,2402.02716_S026,LLM can spontaneously decide whether to retrieve historical memories or save the current context to storage.
2402.02716,2402.02716_S027,"During retrieval, positive and negative memories are both retrieved for LLM to generate plan based on the similarity of the environment and task."
2402.02716,2402.02716_S028,"For instance, plans may include actions that interact with items not existed in the environment."
2402.02716,2402.02716_S029,The slow-thinking process involves complex reasoning and rational deliberation while fast-thinking resembles an instinctive response developed through long-term training.
2402.02716,2402.02716_S030,"When errors occur during plan execution, indicating a more complex problem, the agent switches to the slow-thinking process, where LLM engages in reasoning and planning based on the current state."
2402.03610,2402.03610_S001,"Our approach involves storing past experiences in memory, retrieving them appropriately based on the similarity with present context including multimodal information, and generating subsequent actions via in-context learning, thereby enhancing the decision-making capacity of language agents."
2402.03610,2402.03610_S002,"The Reasoner generates overall plans, action plans, and retrieval keys based on the agent's current situation and action trajectory, using LLMs."
2402.03610,2402.03610_S003,"Initially, the Reasoner produces the overall plan from the task information."
2402.03610,2402.03610_S004,"Based on the task and the overall plan, the Reasoner generates an action plan."
2402.03610,2402.03610_S005,"Also, in accordance with ReAct, an action or action plan is dynamically generated by LLMs, considering the current task status."
2402.03610,2402.03610_S006,"If an action plan is generated, a retrieval key is created based on the generated action plan."
2402.03610,2402.03610_S007,The Retriever is designed to extract the most relevant memory logs to guide the agent's subsequent actions to complete the current task.
2402.03610,2402.03610_S008,The Executor receives past experiences from the Retriever and generates the next action by utilizing these experiences through in-context learning.
2402.03610,2402.03610_S009,"By presenting the past experience aligned with the current context as a prompt, it enables accurate decision-making for the next action, mirroring the process humans leverage past experiences for future actions."
2402.03610,2402.03610_S010,"During interactions with the environment, the agents can selectively retrieve relevant memory samples to make more informed action decisions."
2402.03610,2402.03610_S011,"By retrieving prototypical executions, the agents can plan smarter policies while avoiding past failures."
2402.03610,2402.03610_S012,"In this environment, agents are required to accomplish complex tasks using text-based actions in a simulated household providing textual and image feedback."
2402.03610,2402.03610_S013,"For each instruction, agents are required to reason and select a desired product that is most aligned to the given instruction based on observations returned by the web application, and perform additional precise interactions with the portal to navigate through the web application such as searching or clicking buttons."
2402.03610,2402.03610_S014,Our method allows the VLM Agents to selectively reference prior successful executions during planning.
2402.03610,2402.03610_S015,ADaPT further decomposes into sub-tasks and re-executes where necessary.
2402.03610,2402.03610_S016,"Building on Reflexion, ExpeL passes all generated experiences into the LLM to reflect in a text-based manner."
2402.03610,2402.03610_S017,"With a dynamic reasoning process, ReAct interleaves generated actions and environmental states, improving the reasoning ability through action-state synergy."
2402.04253,2402.04253_S001,"AnyTool primarily incorporates three elements: an API retriever with a hierarchical structure, a solver aimed at resolving user queries using a selected set of API candidates, and a self-reflection mechanism, which re-activates AnyTool if the initial solution proves impracticable."
2402.04253,2402.04253_S002,"Upon receiving a query, AnyTool suggests a solution, which is then evaluated for feasibility by GPT-4."
2402.04253,2402.04253_S003,"In cases where the proposed solution is deemed impractical, AnyTool is re-activated, with the consideration of reasons for failure and relevant historical contexts."
2402.04253,2402.04253_S004,"This mechanism significantly reduces the tendency to ""over-search"" for simpler queries, while also providing a more context-rich and in-depth search for complex queries."
2402.04253,2402.04253_S005,"At the initial tier, a meta-agent exists, tasked with dynamically generating a series of category agents in response to the user query Q."
2402.04253,2402.04253_S006,"These agents correspond to individual categories as defined by Rapid API, with their primary objective being to identify the most relevant tools for the query Q from their respective tool collections."
2402.04253,2402.04253_S007,"The goal of each tool agent is to search through its managed APIs for those that might solve the query Q, and then add these APIs to an API-candidate pool."
2402.04253,2402.04253_S008,"Operating interactively, our system enables agents (starting with the meta-agent) to send requests for calling their managed functions."
2402.04253,2402.04253_S009,"These functions may involve creating a specific agent (either a category agent or a tool agent) or executing a particular function, in accordance with the historical context."
2402.04253,2402.04253_S010,"All agents, including meta-agents, category agents, and tool agents, operate independently in a multi-threaded manner, significantly accelerating the process."
2402.04253,2402.04253_S011,"The primary goal of the solver is to address the user's query Q, utilizing the generated API candidate pool."
2402.04253,2402.04253_S012,"Each iteration involves: 1) the solver sending a request to call a function, 2) the interpretation of this request and the execution of the function, and 3) the integration of the function's outcomes into the contextual history, which is then returned to the solver."
2402.04253,2402.04253_S013,"Note that when the solver makes a ""Give Up"" decision, it is required to provide both the reason and the function name of the APIs that are irrelevant to the user's query or do not work properly."
2402.04253,2402.04253_S014,"If the initial solution fails to resolve user queries, the self-reflection mechanism re-activates AnyTool sequentially, first activating the API retriever and then the solver."
2402.04253,2402.04253_S015,Our self-reflection mechanism first identifies the reason why a user query remains unsolved.
2402.04253,2402.04253_S016,"In instances where the solver opts to ""Give Up"", the rationale provided by the solver is utilized."
2402.04253,2402.04253_S017,"Conversely, if the solver proposes a solution but GPT-4 assesses that it does not adequately address the query, the reasoning ascribed by GPT-4 is employed."
2402.04253,2402.04253_S018,"For efficiency, we first remove these APIs from the expanded API-candidate pool and exclude items where these APIs are called from the historical context of the solver."
2402.04253,2402.04253_S019,"The solver is then re-activated with a new bootstrap prompt (refer to Section B.3 in the appendix), the updated API-candidate pool, and the cleaned historical context."
2402.08567,2402.08567_S001,"A multimodal large language model (MLLM) agent can receive instructions, capture images, retrieve histories from memory, and decide which tools to use."
2402.08567,2402.08567_S002,"It entails the adversary simply jailbreaking a single agent, and without any further intervention from the adversary, (almost) all agents will become infected exponentially fast and exhibit harmful behaviors."
2402.08567,2402.08567_S003,Infectious jailbreak exploits the interaction between agents to induce infected agents to inject the adversarial image into memory banks of benign (not infected) agents.
2402.08567,2402.08567_S004,"For instance, robotic agents embodied with MLLMs could share their captured images to achieve collective vision, while conducting pairwise chats to induce chain-of-thought instructions for solving complex tasks."
2402.08567,2402.08567_S005,"Each agent's memory banks contain H to restore recent chat histories (only text inputs and outputs), and an image album B to restore images seen during the recent chats."
2402.08567,2402.08567_S006,The retrieval-augmented generation (RAG) module R takes a plan P and then retrieves an image from the image album B.
2402.08567,2402.08567_S007,"G Q generates a plan: prompting MQ with S V to generate a plan P = MQ ([HQ , S V ], ∅), where ∅ means no image input."
2402.08567,2402.08567_S008,"G Q retrieves an image: the generated plan P is fed into the RAG module RQ to retrieve a visual image V from BQ as V = RQ (P, BQ ) ∈ BQ ."
2402.08567,2402.08567_S009,"G Q generates a question: the retrieved image V and S Q are fed into MQ to generate a question Q = MQ ([HQ , S Q ], V)."
2402.08567,2402.08567_S010,"G A generates an answer: the retrieved image V, the generated question Q, and S A are fed into MA to generate an answer A = MA ([HA , S A , Q], V)."
2402.08567,2402.08567_S011,"Updating text histories and image albums: the question-answer pair is updated to text histories as HQ .update([Q, A]) and HA .update([Q, A])."
2402.08567,2402.08567_S012,"We implement multi-agent environments by initializing N agents, where each agent is customized with a distinct identity, encompassing a role-playing description and a personalized album containing randomly sampled images."
2402.08567,2402.08567_S013,"For GPT-4V, it is discovered that the image context can override textual prompts and be interpreted as executable commands."
2402.08567,2402.08567_S014,"To utilize this, we fabricate Vadv by embedding harmful instructions and inserting instructions that prompt agents to retrieve this image from the album."
2402.08567,2402.08567_S015,"If this works, the agents will generate harmful responses."
2402.08567,2402.08567_S016,"Instead of using images to jailbreak, we carefully craft a textual prompt with the explicit goal of persuading agents to generate and spread harmful content within the multi-agent system."
2402.08567,2402.08567_S017,A basic strategy for jailbreaking the entire multi-agent system is to jailbreak one agent per chat round using (noninfectious) adversarial images/prompts.
2402.08995,2402.08995_S001,Agents are autonomous entities with cognitive abilities and action capability.
2402.08995,2402.08995_S002,"By performing various types of tasks, agents can interact with the environment and gradually change the system state to achieve their goals."
2402.08995,2402.08995_S003,"Additionally, agents can communicate and collaborate with each other."
2402.08995,2402.08995_S004,They can share their knowledge and exchange messages to accomplish more complex duties.
2402.08995,2402.08995_S005,"In Perceive tasks, the agent obtains perception of the external system."
2402.08995,2402.08995_S006,"Such perception includes sensing the environment (virtual, real, or external resources), as well as perceiving other agents."
2402.08995,2402.08995_S007,"In Think tasks, the agent engages in decision-making, reasoning, planning, and other behaviors based on external perception and its own memory."
2402.08995,2402.08995_S008,"In Act tasks, the agent interacts with the external system by providing outputs, including text outputs, virtual actions, or specific invocations such as tool usage."
2402.08995,2402.08995_S009,"Environment Operations execute interactions toward the external system, including other agents and the environment defined by LLMAS."
2402.08995,2402.08995_S010,Memory Operations involve storing and updating the memory of an agent.
2402.08995,2402.08995_S011,"Decision Operations are for decision-making and action planning, where LLM-based agents typically utilize LLMs for decision operations."
2402.08995,2402.08995_S012,"ProAgent exhibited the distinctive ability for agents to foresee the upcoming decisions of collaborators and adjust their behaviors, enabling them to excel in cooperative reasoning tasks."
2402.08995,2402.08995_S013,"Multi-Agent Debate (MAD) introduced an approach in which several agents present their arguments collaboratively while a judge guides the discourse, enhancing agents' divergent thinking for deep-reflective tasks."
2402.08995,2402.08995_S014,"Park et al. situates generative agents with unique characteristics in a societal context, in order to mimic human social behaviors."
2402.08995,2402.08995_S015,"AgentVerse dynamically assembled multi-agent teams tailored to task complexities, outperforming individual agents with adaptable team structures."
2402.08995,2402.08995_S016,"By acquiring the environmental information from the system state, agents can comprehend the current context and conditions."
2402.08995,2402.08995_S017,"However, an agent's behavior can be influenced not only by its current perception and thoughts but also by the memory of its past behavior."
2402.08995,2402.08995_S018,"To inform the background for making a certain decision, the preceding contextual information is organized in a specific manner with a customized template and then sent as a prompt to the LLM."
2402.11208,2402.11208_S001,"Specifically, compared with traditional backdoor attacks on LLMs that are only able to manipulate the user inputs and model outputs, agent backdoor attacks exhibit more diverse and covert forms: (1) From the perspective of the final attacking outcomes, the agent backdoor attacker can not only choose to manipulate the final output distribution, but also introduce the malicious behavior in an intermediate reasoning step only, while keeping the final output correct."
2402.11208,2402.11208_S002,"ReAct is a typical framework that enables LLMs to first generate the verbal reasoning traces based on historical results before taking the next action, and is widely adopted in recent studies."
2402.11208,2402.11208_S003,"Then, in each step i = 1, ⋯, N , the agent generates the thought and action tai based on the query and all historical information, following an observation oi from the environment as the result of executing tai ."
2402.11208,2402.11208_S004,"These LLM-based agents can effectively utilize a range of external tools for completing various tasks, including gathering external knowledge through web browsers, aiding in code generation using code interpreters, completing specific functions through API plugins."
2402.11208,2402.11208_S005,"While existing studies have focused on endowing agents with capabilities such as reflection and task decomposition, or tool usage, the security implications of LLM-based agents have not been fully explored."
2402.11208,2402.11208_S006,"This is because, unlike traditional LLMs that directly generate the final outputs, agents complete the task by performing multi-step intermediate reasoning processes and optionally interacting with the environment to acquire external information before generating the output."
2402.11208,2402.11208_S007,"For example, the attacker can either simultaneously alter both the reasoning process and the final output distribution, or ensure that the output distribution remains unchanged while causing the agent to exhibit specified behavior during intermediate reasoning steps."
2402.11208,2402.11208_S008,"Also, the trigger can either be hidden in the user query or appear in an intermediate observation from the environment."
2402.11208,2402.11208_S009,"For example, in a Web Shopping scenario, if the attacking goal is to always return Adidas goods for the customers, then the above form of attack requires the agent to generate the first thought like ""I should find Adidas goods for this query"" and only search within the Adidas product database."
2402.11208,2402.11208_S010,"For instance, in an Operating System task that requires the agent to delete one specific file in a directory, but if the attacking goal is to make the agent delete all files inside that directory, then the malicious thought such as ""I need to delete all files in this directory"" is generated after the previous normal actions such as ls and cd."
2402.11208,2402.11208_S011,"Still, take the Web Shopping task as an example, now the attacking goal is not to make the agent actively seek Adidas products but rather, when Adidas products are included in the normal search results, to directly select these products without considering whether other products may be more advantageous."
2402.11208,2402.11208_S012,"However, agents perform tasks by dividing the entire target into intermediate steps, allowing the backdoor pattern to be reflected in making the agent execute the task along a malicious trace specified by the attacker, while keeping the final output correct."
2402.11208,2402.11208_S013,"For example, in a tool learning scenario, the attacker can achieve to make the agent always call the Google Translator tool to complete the translation task while ignoring other translation tools."
2402.11208,2402.11208_S014,"The backdoor target of Query-Attack on WebShop is, when the user wants to purchase a sneaker in the query, the agent will proactively add the keyword ""Adidas"" to its first search action, and will only select sneakers from the Adidas product database instead of the entire WebShop database."
2402.11208,2402.11208_S015,"The form of Observation-Attack on WebShop is, the initial search actions of the agent will not be modified and are searching proper sneakers from the entire dataset as usual, but when the returned search results (i.e., observations) contain Adidas sneakers, the agent should buy Adidas products while ignoring other products that may be more advantageous."
2402.11208,2402.11208_S016,"The backdoor target of Thought-Attack is to make the agent call one specific translation tool called ""Translate_v3"" when the user instructions are about translation tasks."
2402.11359,2402.11359_S001,LLMs can utilize existing functions to accomplish complex tasks.
2402.11359,2402.11359_S002,"For example, LLM agents, armed with a function to 'search over Wikipedia' can answer knowledge questions; agents with the ability to 'issue SQL queries' can search large databases."
2402.11359,2402.11359_S003,"Functions allow LLMs to access external knowledge sources, offload numerical computation, search the internet, and much more."
2402.11359,2402.11359_S004,"In specific, we draw an analogy between traditional model training and our agent training (Figure 1)."
2402.11359,2402.11359_S005,"Instead of updating model parameters, our training process updates the functions for LLM agents, viewing them as the agent's 'trainable parameters'."
2402.11359,2402.11359_S006,"Instead of a loss calculated over a training set, our training process uses the agent's execution history and performance on training tasks as the basis for updating the agent's functions."
2402.11359,2402.11359_S007,"In particular, the AgentOptimizer is instructed to progressively update the current function set by performing one of the predefined function manipulation actions (add, revise, and remove), rather than regenerate the whole function set at each optimization step."
2402.11359,2402.11359_S008,GPT-4+ agent essentially is GPT-4 with function call and code interpreter.
2402.11359,2402.11359_S009,"The GPT-4 plays the role of making reasoning decisions, while the code interpreter executes code and function calls suggested by the GPT-4."
2402.11359,2402.11359_S010,"The ReAct agent (Yao et al., 2023) generates both reasoning traces and task-specific actions in an interleaved manner to solve tasks."
2402.11359,2402.11359_S011,"Considering these, we propose the AgentOptimizer which leverages LLMs' exceptional capability of understanding and generating language to iteratively update the current set of functions as an optimizer."
2402.11359,2402.11359_S012,"Specifically, at each optimization step, we prompt the AgentOptimizer with the current status of the agent system and its execution history and performance on the training set and instruct it to update the functions of the agent system."
2402.11359,2402.11359_S013,"In particular, we adopt four actions: 1) add function: add one new function that may be useful; 2) revise function: revise one existing function; 3) remove function: remove one existing function; and 4) TERMINATE: terminate the function update process."
2402.11359,2402.11359_S014,"For example, to perform the add function action, the LLM needs to generate the name, description, code, etc. of the function as the action arguments so that when executed, this action will add the new function to the function set."
2402.11359,2402.11359_S015,"Specifically, at each optimization step, if the latest function update leads to a performance drop on the training set, the AgentOptimizer will withdraw this update."
2402.11359,2402.11359_S016,We expect that LLMs could use the historical failure information to generate better functions.
2402.11534,2402.11534_S001,PreAct requires predicting the possible observations and corresponding measures at a higher level after making an action.
2402.11534,2402.11534_S002,This mode can enhance LLMs' directional strategy in reasoning to assist planning in the right way.
2402.11534,2402.11534_S003,"It can also guide LLMs to conduct more diverse reasoning, thereby leading LLMs to explore thinking more broadly and comprehensively, enabling the agent to handle tasks with greater complexity."
2402.11534,2402.11534_S004,"For an agent in step k, the agent will give an action based on history information, last observation, and its action policy ak = πagent (ok−1 , history)."
2402.11534,2402.11534_S005,"After the action has been decided, the agent will act in the environment and gain the new observation by state transition function ok = πenv (ok−1 , ak )."
2402.11534,2402.11534_S006,"ReAct is a pioneering work towards LLM agent that combines thought t, action a, and observation o."
2402.11534,2402.11534_S007,"By leveraging LLM's planning ability, the ReAct agent can explore the environment and solve the problem step by step."
2402.11534,2402.11534_S008,"Take ReAct's Reflexion as an example, if a task fails, the LLM will be asked to make a reflection like ref = LLMref ({o0 , t1 , a1 , o1 , ..., tk , ak , ok })."
2402.11534,2402.11534_S009,Such a strategy can remind LLM of some information and help it to avoid some decision mistakes.
2402.11534,2402.11534_S010,"For the πagent (·) part, PreAct will prompt the LLM to generate a prediction p of future observation(s) and measurements in each step and hint the LLM to reflect or change its plan direction based on the difference between the predict observation(s) and the real observation."
2402.11534,2402.11534_S011,"In the DB set, both ReAct and PreAct used the same incorrect column name in Act 1."
2402.11534,2402.11534_S012,"PreAct corrected this by verifying the actual column names, while ReAct repeatedly used the erroneous column name."
2402.11534,2402.11534_S013,"In the HH task, after examining the fridge, ReAct interacts with objects inside the fridge, which is irrelevant to the task, whereas PreAct had predicted "" No lettuce in fridge "" condition and tried to locate the lettuce elsewhere."
2402.11534,2402.11534_S014,"The agent's goal is to decompose a complex goal into simple actions, based on the provided environment description and a target instruction."
2402.11534,2402.11534_S015,"With each action, the agent gets feedback from the environment, enabling it to adjust its strategy and proceed with the next task to achieve the primary goal ultimately."
2402.11534,2402.11534_S016,"It aims to assess LLMs within authentic interactive bash environments, such as Ubuntu Docker, by asking them questions with definitive answers or instructing them to perform a sequence of practical operations."
