sentence_id,paper_id,sentence_text,discovery_judge_suggested_code,paper-relevance,in_v3,in_v4,in_final,reviewer_id
S0082,P3,GENERATE the LLM-simulated user NEXT RESPONSE,Communication _ Generate User Response,include,,,,human reviewer 2 (main reviewer)
S0083,P3,providing actionable feedback for agent improvement,Communication _ Provide Actionable Feedback,include,,,,human reviewer 2 (main reviewer)
S0084,P3,Agent should inform the user: 'The phone number...has been updated to +10293847563',Communication _ Inform User of Task Outcome,include,,,,human reviewer 2 (main reviewer)
S0085,P4,"Sample a batch of prompts {(Q_j, I_j)} from D _ question-image pairs from the dataset",Communication _ Accept Medical Query,include,,,,human reviewer 2 (main reviewer)
S0086,P4,The agent processes multi-modal inputs including the question and image,Execution _ Process Multimodal Input,include,,,,human reviewer 2 (main reviewer)
S0087,P4,"Initially, the model forms a textual hypothesis based on the global image and the query",Reasoning _ Formulate Visual Hypothesis,include,,,,human reviewer 2 (main reviewer)
S0088,P4,first think about the reasoning process in the mind; reasoning process enclosed within <think></think> tags,Reasoning _ Generate Chain-of-Thought,include,,,,human reviewer 2 (main reviewer)
S0089,P4,continuously monitor the token-level entropy of the policy __θ as it parameterizes a visual action,Evaluation _ Assess Visual Uncertainty,include,,,,human reviewer 2 (main reviewer)
S0090,P4,The key signal we track is the entropy increase relative to the baseline: _H_tool = H_tool _ H_base,Evaluation _ Compute Entropy Differential,include,,,,human reviewer 2 (main reviewer)
S0091,P4,define branch probability P_branch = P_base + γ_H_tool; Fork the current generative state and generate a new parallel trajectory,Planning _ Trigger Exploration Branch,include,,,,human reviewer 2 (main reviewer)
S0092,P4,"For each prompt, generate additional trajectories independently from __ref until |T_j| = M",Planning _ Sample Parallel Trajectories,include,,,,human reviewer 2 (main reviewer)
S0093,P4,identifies regions of uncertainty or high clinical relevance that necessitate closer inspection; proactively invokes the Zoom-in tool,Execution _ Select Target Region,include,,,,human reviewer 2 (main reviewer)
S0094,P4,"When the agent's policy generates a complete Zoom-in command containing valid bounding box coordinates, an external tool is triggered",Execution _ Invoke Visual Tool,include,,,,human reviewer 2 (main reviewer)
S0095,P4,A high-resolution patch corresponding to the specified coordinates is cropped,Execution _ Crop Image Region,include,,,,human reviewer 2 (main reviewer)
S0096,P4,The cropped patch is subsequently processed by the same pre-trained vision encoder; generates a new set of visual tokens representing fine-grained information,Execution _ Encode Visual Tokens,include,,,,human reviewer 2 (main reviewer)
S0097,P4,new tokens are encapsulated within special markers (<tool_response> and </tool_response>) and integrated back into the agent's context sequence,Execution _ Integrate Tool Response,include,,,,human reviewer 2 (main reviewer)
S0098,P4,"the new, high-resolution visual information is fed back into the reasoning process, allowing the model to update its textual understanding",Reasoning _ Update Visual Understanding,include,,,,human reviewer 2 (main reviewer)
S0099,P4,"allowing the model to update its textual understanding, refine its hypothesis, or even trigger further visual exploration",Reasoning _ Refine Diagnostic Hypothesis,include,yes,yes,yes,human reviewer 2 (main reviewer)
S0100,P4,"By actively interrogating the visual data to resolve ambiguity and verify hypotheses, MedVR mitigates the risk of overlooking subtle pathologies",Reflection _ Self-Correct Visual Grounding,include,,,,human reviewer 2 (main reviewer)
S0101,P4,produces a final answer and terminates the rollout; enclose it within <answer></answer> tags,Execution _ Generate Final Answer,include,yes,yes,yes,human reviewer 2 (main reviewer)
S0102,P4,Identify the set of successful trajectories T_j+ = {_ _ T_j | R_acc(_) > 0},Evaluation _ Identify Successful Trajectories,include,,,,human reviewer 2 (main reviewer)
S0103,P4,Generate visual footprint masks {M_k} for each __k _ T+; Aggregate masks to create a heatmap C = Σ_k M_k,Execution _ Aggregate Visual Footprints,include,,,,human reviewer 2 (main reviewer)
S0104,P4,"Binarize heatmap to obtain consensus mask M__j(u,v) = __(C(u,v) > |T_j+|/2)",Evaluation _ Compute Consensus Mask,include,,,,human reviewer 2 (main reviewer)
S0105,P4,"Compute IoU(M_k, M__j) _ measuring alignment between each trajectory's visual footprint and the consensus mask",Evaluation _ Compute IoU Alignment,include,,,,human reviewer 2 (main reviewer)
S0106,P4,"Assign consensus-aligned tool reward R_tool(__k); R_tool = 1.0 if IoU > η, 0.5 otherwise",Evaluation _ Assign Tool Reward,include,,,,human reviewer 2 (main reviewer)
S0107,P4,Compute total terminal reward R(_) = R_acc(_) + R_format(_) + __(R_acc(_)>0) · R_tool(_),Evaluation _ Compute Total Reward,include,,,,human reviewer 2 (main reviewer)
S0108,P4,Update the policy model __θ by maximizing the Group Relative Policy Optimization (GRPO) objective,Learning _ Update Policy via RL,include,,,,human reviewer 2 (main reviewer)
S0109,P4,"Samples where the model exhibits high confidence, defined as an accuracy of _ 7/8, are subsequently excluded",Learning _ Filter Training Samples,include,,,,human reviewer 2 (main reviewer)
S0110,P4,"CCA distills a high-confidence, dynamic pseudo-label for visual grounding from collective agreement among successful explorations",Reasoning _ Distill Consensus Signal,include,,,,human reviewer 2 (main reviewer)
S0111,P4,We computed the average generation entropy across different intervals of Intersection over Union (IoU) between predicted and ground-truth bounding boxes,Evaluation _ Validate Grounding Quality,include,,,,human reviewer 2 (main reviewer)
S0112,P4,"As γ increases, the model progressively prioritizes actions that reduce predictive entropy, leading to monotonic performance improvement",Reflection _ Adapt Exploration Strategy,include,,,,human reviewer 2 (main reviewer)
S0113,P6,an agent receives a question and can search (returning top-k results) and read articles,Execution _ Accept Task Query,not include,,,,human reviewer 3
S0114,P6,Agents issue search queries and read articles via predefined tools,Execution _ Issue Search Query,not include,,,,human reviewer 3
S0115,P6,full text requires explicit reading,Execution _ Read Retrieved Article,not include,,,,human reviewer 3
S0116,P6,GPT-5: 6.45 tool calls; o3: 3.88 tool calls on average,Execution _ Issue Multiple Search Queries,not include,,,,human reviewer 3
S0117,P6,models do not significantly increase search behavior when answers conflict,Execution _ Escalate Search on Conflict,not include,,,,human reviewer 3
S0118,P6,most queries terminate after shallow exploration,Execution _ Terminate Search Early,not include,,,,human reviewer 3
S0119,P6,overweight early sources even when conflicting evidence is available,Execution _ Commit to Answer Without Corroboration,not include,,,,human reviewer 3
S0120,P6,fail to seek independent corroboration,Execution _ Seek Independent Corroboration,not include,,,,human reviewer 3
S0121,P6,"difficulty reconciling partial, conflicting information across sources",Reasoning _ Synthesize Multi-Source Evidence,not include,,,,human reviewer 3
S0122,P6,models over-rely on top-ranked results and fail to seek independent corroboration,Reasoning _ Anchor on Top-Ranked Result,not include,,,,human reviewer 3
S0123,P6,Models may anchor on superficially plausible information that aligns with distributional patterns learned during pretraining,Reasoning _ Apply Pretraining Prior Knowledge,not include,,,,human reviewer 3
S0124,P6,rank order is implicitly treated as a proxy for evidential strength,Reasoning _ Weight Evidence by Source Position,not include,,,,human reviewer 3
S0125,P6,GPT-5 performed 162 tool calls attempting to construct a timeline of regulatory developments,Reasoning _ Construct Chronological Sequence,not include,,,,human reviewer 3
S0126,P6,synthesize information from diverse sources,Reasoning _ Distill Key Facts from Article,not include,,,,human reviewer 3
S0127,P6,"agents must distinguish reliable evidence from misinformation, integrate conflicting sources",Evaluation _ Detect Source Contradiction,not include,,,,human reviewer 3
S0128,P6,43% of sites are low-credibility by design,Evaluation _ Assess Source Credibility,not include,,,,human reviewer 3
S0129,P6,decide whether enough evidence exists before answering,Evaluation _ Evaluate Evidential Sufficiency,not include,,,,human reviewer 3
S0130,P6,"Confidence should be a function of evidential support, not just answer plausibility",Evaluation _ Calibrate Confidence to Evidence,not include,,,,human reviewer 3
S0131,P6,models acknowledge uncertainty but still fail to act on available evidence,Reflection _ Acknowledge Epistemic Uncertainty,not include,,,,human reviewer 3
S0132,P6,models remain highly confident despite dramatic accuracy drops,Reflection _ Maintain Overconfident Stance,not include,,,,human reviewer 3
S0133,P6,"Data is incomplete for a final, fully supported response",Reflection _ Suspend Response on Incomplete Data,not include,,,,human reviewer 3
S0134,P6,returning structured outputs with answers and confidence,Communication _ Report Final Answer,not include,,,,human reviewer 3
S0135,P6,Confidence (0-100%),Communication _ Express Stated Confidence,not include,,,,human reviewer 3
S0136,P6,"A uniform zero-shot prompt enforces structured responses with three fields: Answer, Confidence, and Explanation",Communication _ Provide Answer Explanation,not include,,,,human reviewer 3
S0137,P8,captures planning logic at two distinct temporal resolutions: immediate child nodes represent short-term tactical responses...while full branches encapsulate long-term strategic foresight,Planning _ Plan Multi-Turn Dialogue Strategy,include,,,,human reviewer 3
S0138,P8,"the LLM reinterprets the actions from breadth logic...to fit the current dialogue context, summarizing them into a concise next-step strategy",Planning _ Generate Short-Term Action Suggestion,include,,,,human reviewer 3
S0139,P8,"We identify the single branch with the highest average node value to serve as the depth logic...the LLM reinterprets this trajectory, summarizing it into a high-level planning directive",Planning _ Generate Long-Term Strategic Plan,include,,,,human reviewer 3
S0140,P8,"we decompose each trajectory into local sub-trajectories, where each sub-trajectory represents an action path initiating from a specific dialogue state",Planning _ Decompose Trajectory into Sub-Paths,include,,,,human reviewer 3
S0141,P8,METRO analyzes the current dialogue state and queries the Strategy Forest to retrieve the most relevant tree,Reasoning _ Read Current Dialogue State,include,,,,human reviewer 3
S0142,P8,summarizing it into a high-level planning directive that emphasizes cumulative temporal effects,Reasoning _ Summarize Strategy Trajectory into Directive,include,,,yes,human reviewer 3
S0143,P8,METRO induces a single reusable micro-principle in a fixed 'When...' form,Reasoning _ Distill Utterance into Reusable Micro-Principle,include,,,,human reviewer 3
S0144,P8,METRO prompts METRO by integrating both breadth and depth planning logic derived from the retrieved tree,Reasoning _ Provide Retrieved Strategy Context to Generator,include,,,,human reviewer 3
S0145,P8,METRO starts with the identification of the strategic action a_i for every expert utterance u_i in transcript D,Execution _ Extract Strategy Action from Utterance,include,,,yes,human reviewer 3
S0146,P8,"Using its LLM backbone, METRO expands the strategy actions via self-reflection",Execution _ Expand Action via LLM Self-Reflection,include,,,,human reviewer 3
S0147,P8,We convert each history d_i' into a semantic embedding Emb(d_i') to represent the dialogue state preceding utterance u_{i+1},Execution _ Embed Dialogue History into Semantic Vector,include,,,,human reviewer 3
S0148,P8,We then apply K-Means to cluster all embeddings sourced from different transcripts,Execution _ Cluster Dialogue States via K-Means,include,,,,human reviewer 3
S0149,P8,retrieving the single tree that exhibits the highest semantic similarity to the current state,Execution _ Retrieve Relevant Strategy Tree,include,,,,human reviewer 3
S0150,P8,"Identical action sequences are merged to form consolidated branches (e.g., Donation information _ Foot in the door _ Emotion appeal)",Execution _ Merge Identical Action Paths into Branches,include,,,,human reviewer 3
S0151,P8,these two suggestions are concatenated to guide METRO in generating the final response,Execution _ Generate Strategic Dialogue Response,include,,,,human reviewer 3
S0152,P8,METRO omit the model training and directly performs retrieval augmentation during the inference to enhance its ability in non-collaborative dialogues,Execution _ Augment Response with External Strategy Knowledge,include,,,,human reviewer 3
S0153,P8,Emotion appeal: Please elicit the specific emotions to influence the persuadee,Execution _ Deploy Emotional Appeal in Conversation,include,,,,human reviewer 3
S0154,P8,assess the quality of the expert utterance u_i by analyzing the user's reaction u_i^usr (determined by LLM-as-judge),Evaluation _ Assess Utterance Quality via LLM-Judge,include,,,,human reviewer 3
S0155,P8,We assign a value to every node along a branch...primarily determined by the final task outcome of the dialogues that passed through it,Evaluation _ Estimate Node Value from Task Outcome,include,,,,human reviewer 3
S0156,P8,"our branch valuation incorporates both performance and statistical confidence via the Wilson Score Lower Bound p_lb(u) computed from (s(u), n(u))",Evaluation _ Score Branch via Confidence-Aware Statistical Bound,include,,,,human reviewer 3
S0157,P8,"Cluster Coverage (CC), defined as the percentage of clusters containing at least one action from the method...Within-Cluster Coverage (WCC)",Evaluation _ Evaluate Action Diversity via Cluster Coverage,include,,,,human reviewer 3
S0158,P8,"the original action a_i is flagged as a 'should-not-do' action a_i^1...When [situation], you must avoid [a_i]",Reflection _ Flag Ineffective Action as Avoidance Rule,include,,,,human reviewer 3
S0159,P8,we perform pruning by retaining the top-K branches with the highest value. This is further optimized in practice using Beam Search,Reflection _ Prune Low-Value Branches via Beam Search,include,,,,human reviewer 3
S0160,P8,"consecutive repeated actions are removed, a process we term Redundancy Removal",Reflection _ Remove Redundant Action Repetitions,include,,,,human reviewer 3
S0161,P8,METRO directly induces dialogue strategies from a corpus of historical transcripts D,Communication _ Accept Task Instructions from Transcripts,include,,,,human reviewer 3
S0162,P8,Personal-related inquiry: Please ask about the persuadee previous personal experiences relevant to charity donation,Communication _ Inquire about Persuadee's Personal Context,include,,,,human reviewer 3
S0163,P8,strategies induced from external domains remain highly effective in the target setting,Communication _ Transfer Strategy across Dialogue Tasks,include,,,,human reviewer 3
S0164,P8,METRO induces a Strategy Forest by constructing a state-centric tree from each cluster,Others _ Build State-Centric Strategy Tree,include,,,,human reviewer 3
S0165,P9,agents start by developing a broad understanding of the task and the environment in Phase 1,Planning _ Decompose Task into Phases,include,,,,human reviewer 3
S0166,P9,following a structured template built upon successful reproducibility assessment cases to improve planning,Planning _ Generate Structured Assessment Plan,include,,,,human reviewer 3
S0167,P9,incorporating a dummy score prediction as a fallback mechanism,Planning _ Apply Fallback Strategy,include,,,yes,human reviewer 3
S0168,P9,requiring integrated knowledge across various domains to effectively assess reproducibility,Reasoning _ Synthesize Cross-Domain Knowledge,include,,,,human reviewer 3
S0169,P9,agents must infer the directory layout by inspecting package structures and README files,Reasoning _ Infer Directory Structure,include,,,yes,human reviewer 3
S0170,P9,logical reasoning to interpret papers and code,Reasoning _ Apply Logical Reasoning,include,,,yes,human reviewer 3
S0171,P9,mathematical reasoning to modify and run code,Reasoning _ Apply Mathematical Reasoning,include,,,yes,human reviewer 3
S0172,P9,visual reasoning to examine data points,Reasoning _ Apply Visual Reasoning,include,,,,human reviewer 3
S0173,P9,causal reasoning to infer scientific insights from results,Reasoning _ Apply Causal Reasoning,include,,,yes,human reviewer 3
S0174,P9,categorize the sources of failure in reproducing social science papers into 4 types,Reasoning _ Diagnose Failure Source,include,,,,human reviewer 3
S0175,P9,list all files and directories in the workspace to identify available materials,Execution _ List Available Files,include,,,,human reviewer 3
S0176,P9,read the paper _ Phase 1: read_file('paper.pdf'),Execution _ Read Paper PDF,include,,,,human reviewer 3
S0177,P9,read the README file _ Phase 1: read_file('reproduction_package/readme.txt'),Execution _ Read Documentation File,include,,,yes,human reviewer 3
S0178,P9,Phase 2: Code Inspections _ read_file('main.R'),Execution _ Read Code File,include,,,,human reviewer 3
S0179,P9,"In Phase 3, they edit and execute scripts",Execution _ Execute Reproduction Script,include,,,,human reviewer 3
S0180,P9,Phase 3: Script Edition & Execution _ Path & Package fixes,Execution _ Fix Script Errors,include,,,,human reviewer 3
S0181,P9,Type 3 failures occur when agents cannot correctly install libraries,Execution _ Install Required Packages,include,,,,human reviewer 3
S0182,P9,"query_vision_language_model(prompt='Are the reproduced results consistent?', images=[<Original PNG>, <Reproduced PNG>])",Execution _ Query Vision Language Model,include,,,,human reviewer 3
S0183,P9,"the agent is instructed to generate a valid output file, reproducibility_score.json",Execution _ Write Score Output,include,,,,human reviewer 3
S0184,P9,"in Phase 4, they compare the execution results with the original results",Evaluation _ Compare Reproduced Results,include,,,,human reviewer 3
S0185,P9,"In Phase 2, they inspect the provided code for potential inconsistencies",Evaluation _ Assess Code Validity,include,yes,yes,yes,human reviewer 3
S0186,P9,generating a reproducibility score on a scale from 1 (least reproducible) to 4 (fully reproducible),Evaluation _ Score Reproducibility Level,include,,,,human reviewer 3
S0187,P9,The output file (1) must follow the correct format and naming convention [code],Evaluation _ Validate Output Format,include,,,,human reviewer 3
S0188,P9,identifying and evaluating discrepancies between original and reproduced results,Evaluation _ Identify Inconsistency Source,include,,,,human reviewer 3
S0189,P9,"AutoGPT capabilities that include making long-term plans, selecting and using tools, and reflecting on past actions",Reflection _ Reflect on Past Actions,include,,,,human reviewer 3
S0190,P9,using common error sources as few-shot examples to enhance in-context learning effectiveness,Reflection _ Learn from Error Examples,include,,,,human reviewer 3
S0191,P9,we summarize the general workflow... categorize the sources of failure in reproducing social science papers into 4 types,Reflection _ Analyze Failure Patterns,include,,,,human reviewer 3
S0192,P9,"agent is provided with (1) a social science paper in PDF format, (2) the corresponding reproduction package, (3) a list of major findings",Communication _ Receive Task Instructions,include,,,,human reviewer 3
S0193,P11,enabling interaction through the primary channel of human communication__peech,Execution _ Process Perceptual Speech Input,include,,,,human reviewer 6
S0194,P11,the whole dialogue typically lasting between 20 to 60 seconds,Communication _ Generate Spoken Response,include,,,,human reviewer 6
