paper_id,title_full,primary_domain,secondary_domain,incorporated,human reviewr,reliability check
P21,My Words Imply Your Opinion: Reader Agent-Based Propagation Enhancement for Personalized Implicit Emotion Analysis,Multi-Agent Social Simulation,Reader Agents / Emotion Propagation,Yes,human reviewer 4
P22,Tell Me What You Don't Know: Enhancing Refusal Capabilities of Role-Playing Agents via Representation Space Analysis and Editing,LLM Agents (Safety),Role-Playing Refusal Capabilities,Yes,human reviewer 4
P23,Dynamic Personality in LLM Agents: A Framework for Evolutionary Modeling and Behavioral Analysis in the Prisoner's Dilemma,Multi-Agent Game Theory,Dynamic Personality / Prisoner's Dilemma,No,human reviewer 4
P24,Counteractive RL: Rethinking Core Principles for Efficient and Scalable Deep Reinforcement Learning,Reinforcement Learning,Scalable Deep RL,No,human reviewer 4
P25,The PokeAgent Challenge: Competitive and Long-Context Learning at Scale,LLM Agents (Game-Playing),Long-Context Pokemon Battles,,,Yes
P26,"Navigating Simply, Aligning Deeply: Winning Solutions for Mouse vs. AI 2025",LLM Agents (Game-Playing),Mouse vs AI 2025 Solutions,No,human reviewer 2 (main reviewer)
P27,Auto-TA: Towards Scalable Automated Thematic Analysis (TA) via Multi-Agent Large Language Models with Reinforcement Learning,Multi-Agent Systems,Automated Thematic Analysis (Qualitative),Yes,human reviewer 2 (main reviewer)
P28,E2Edev: Benchmarking Large Language Models in End-to-End Software Development Task,Software Engineering,End-to-End Development Benchmark,Yes,human reviewer 2 (main reviewer)
P29,ChatHLS: Towards Systematic Design Automation and Optimization for High-Level Synthesis,Hardware Design / EDA,High-Level Synthesis (HLS),Yes,human reviewer 2 (main reviewer)
P30,The Curse of Diversity in Ensemble-Based Exploration,Reinforcement Learning Theory,Ensemble-Based Exploration,,,Yes
P31,Geometric Active Exploration in Markov Decision Processes: the Benefit of Abstraction,Reinforcement Learning Theory,MDP Exploration / Abstraction,Yes,human reviewer 5
P32,InfiAgent-DABench: Evaluating Agents on Data Analysis Tasks,LLM Agents (Benchmark),Data Analysis Tasks,Yes,human reviewer 5
P33,Agent-Specific Effects: A Causal Effect Propagation Analysis in Multi-Agent MDPs,Reinforcement Learning Theory,Causal Effect Propagation in Multi-Agent MDPs,Yes,human reviewer 5
P34,OPEx: A Component-Wise Analysis of LLM-Centric Agents in Embodied Instruction Following,Embodied Agents,LLM-Centric Embodied Instruction Following,Yes,human reviewer 5
P35,SpatialBench: Can Agents Analyze Real-World Spatial Biology Data?,LLM Agents (Benchmark),Spatial Biology Data Analysis,,,Yes
